Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,4,2,12,1.14,0.000%,50.79236,743.19,11.85,14983.0
TOTAL,500,4,2,12,1.14,0.000%,50.79236,743.19,11.85,14983.0
